Country,Year,SP.POP.TOTL,SH.TBS.INCD,SH.IMM.MEAS,SE.XPD.TOTL.GD.ZS,SH.DYN.AIDS.ZS,SP.DYN.LE00.IN,SH.IMM.IDPT,SH.XPD.CHEX.GD.ZS,SN.ITK.DEFC.ZS,NY.GDP.PCAP.CD
Angola,2005,19450959.0,368.0,21.0,2.12011003494263,1.6,51.57,47.0,2.85219693,52.2,1900.724725153772
Angola,2006,20162340.0,377.0,21.0,2.28146004676819,1.7,52.369,44.0,2.68553662,49.3,2597.962681516035
Angola,2007,20909684.0,379.0,58.0,2.92000007629395,1.8,53.642,48.0,2.97438812,46.1,3121.350474803252
Angola,2008,21691522.0,382.0,48.0,2.69000005722046,1.8,54.633,49.0,3.32290483,42.9,4081.7150039227936
Angola,2009,22507674.0,385.0,46.0,3.21000003814697,1.9,55.752,50.0,3.84260869,33.1,3123.697585735916
Angola,2010,23364185.0,384.0,62.0,3.42131996154785,1.9,56.726,51.0,2.69510007,23.9,3496.7847960803215
Angola,2011,24259111.0,383.0,57.0,3.02999997138977,1.9,57.596,52.0,2.64560795,16.4,4511.153227190339
Angola,2012,25188292.0,380.0,65.0,3.08190989494324,1.9,58.623,53.0,2.39574957,15.1,4962.552071900818
Angola,2013,26147002.0,376.0,59.0,4.4389500617981,1.9,59.307,54.0,2.73282766,14.3,5101.983876411284
Angola,2014,27128337.0,370.0,56.0,3.12292003631592,1.9,60.04,55.0,2.43412852,13.7,5059.080441288163
Angola,2015,28127721.0,366.0,51.0,3.48690009117126,1.9,60.655,59.0,2.60579491,14.5,3100.830685305332
Angola,2016,29154746.0,362.0,45.0,2.75494003295898,1.8,61.092,59.0,2.71314907,15.4,1709.5155340455294
Angola,2017,30208628.0,359.0,42.0,2.46688008308411,1.8,61.68,56.0,2.79150295,15.4,2283.214232557247
Angola,2018,31273533.0,355.0,50.0,2.04469990730286,1.7,62.144,63.0,2.54010224,15.7,2487.500995552675
Angola,2019,32353588.0,351.0,51.0,1.92745995521545,1.7,62.448,57.0,2.53335953,17.9,2142.2387571285367
Albania,2001,3060173.0,20.0,95.0,3.45869994163513,0.1,75.639,97.0,7.13952398,4.9,1281.6598256178013
Albania,2002,3051010.0,22.0,96.0,3.11779999732971,0.1,75.89,98.0,6.90934134,6.1,1425.1242186014215
Albania,2003,3039616.0,20.0,93.0,3.13823008537292,0.1,76.142,97.0,7.06348991,7.5,1846.120120812074
Albania,2004,3026939.0,20.0,96.0,3.22751998901367,0.1,76.376,97.0,6.77337217,8.6,2373.5812917005464
Albania,2005,3011487.0,19.0,97.0,3.28154993057251,0.1,76.621,98.0,6.33554173,8.9,2673.7865842955907
Albania,2006,2992547.0,18.0,95.0,3.1914598941803,0.1,76.816,97.0,6.00927734,8.8,2972.742923997986
Albania,2007,2970017.0,17.0,97.0,3.27592992782593,0.1,77.549,98.0,6.31683397,8.3,3595.038056828926
Albania,2010,2913021.0,17.0,99.0,3.41307497024536,0.1,77.936,99.0,4.7457962,5.8,4094.3483857449382
Albania,2011,2905195.0,17.0,99.0,3.07999992370605,0.1,78.092,99.0,4.79534149,5.4,4437.142612226842
Albania,2012,2900401.0,16.0,98.0,2.9300000667572,0.1,78.064,99.0,5.05526543,5.1,4247.630047481943
Albania,2013,2895092.0,19.0,99.0,3.53929996490479,0.1,78.123,99.0,5.38561106,5.0,4413.062005289033
Albania,2014,2889104.0,16.0,98.0,3.04999995231628,0.1,78.407,98.0,5.50347328,5.0,4578.633208121549
Albania,2015,2880703.0,17.0,97.0,3.43796992301941,0.1,78.644,99.0,4.89631176,4.9,3952.802538075274
Albania,2016,2876101.0,17.0,96.0,3.96209001541138,0.1,78.86,98.0,4.91601658,4.7,4124.05538986272
Albania,2017,2873457.0,20.0,96.0,3.61173009872437,0.1,79.047,99.0,5.01263571,4.7,4531.019373768898
Albania,2018,2866376.0,18.0,94.0,3.15490126609802,0.1,79.184,99.0,5.23207188,4.6,5287.663694469134
Argentina,2001,37480493.0,35.0,89.0,4.833740234375,0.3,74.186,83.0,8.37179756,3.0,7168.975872329107
Argentina,2002,37885028.0,35.0,95.0,4.01734018325806,0.3,74.408,93.0,7.3933115,3.8,2579.4887693328405
Argentina,2003,38278164.0,33.0,97.0,3.53504991531372,0.3,74.08,96.0,6.89451599,4.5,3333.1529038899735
Argentina,2004,38668796.0,34.0,99.0,3.48652005195618,0.3,74.855,98.0,7.22868299,4.0,4258.160260608751
Argentina,2005,39070501.0,31.0,98.0,3.86000990867615,0.3,75.139,98.0,7.61078882,3.7,5086.627760731341
Argentina,2006,39476851.0,28.0,97.0,4.12821006774902,0.4,75.433,91.0,7.64032841,3.4,5890.978001697949
Argentina,2007,39876111.0,30.0,94.0,4.46260023117065,0.4,75.006,91.0,7.83455086,3.3,7210.595547558988
Argentina,2008,40273769.0,26.0,96.0,4.84440994262695,0.4,75.641,93.0,8.18266869,3.3,8977.50685093365
Argentina,2009,40684338.0,22.0,96.0,5.53105020523071,0.4,75.936,94.0,9.45598793,3.2,8184.389889239906
Argentina,2010,40788453.0,21.0,95.0,5.01971006393433,0.4,75.721,94.0,9.44546986,3.1,10385.964431955526
Argentina,2011,41261490.0,27.0,95.0,5.29062986373901,0.4,76.124,91.0,9.41821575,2.9,12848.86419697053
Argentina,2012,41733271.0,24.0,94.0,5.34582996368408,0.4,76.467,91.0,9.82728195,2.8,13082.664325571988
Argentina,2013,42202935.0,24.0,94.0,5.43661022186279,0.4,76.491,94.0,9.78097343,2.6,13080.254732336658
Argentina,2014,42669500.0,25.0,95.0,5.36144018173218,0.4,76.755,94.0,9.67129135,2.5,12334.79824538929
Argentina,2015,43131966.0,26.0,89.0,5.77611017227173,0.4,76.76,94.0,10.22933865,2.5,13789.060424772022
Argentina,2016,43590368.0,27.0,90.0,5.54548978805542,0.4,76.308,92.0,9.00189686,2.6,12790.242473244707
Argentina,2017,44044811.0,27.0,89.0,5.45431995391846,0.4,76.833,86.0,10.44225502,3.1,14613.041824657957
Argentina,2018,44494502.0,27.0,94.0,4.87773990631104,0.4,76.999,86.0,9.66646481,3.4,11795.159386628686
Argentina,2019,44938712.0,29.0,86.0,4.72417020797729,0.4,77.284,83.0,9.5100708,3.5,9963.672506205303
Australia,2005,20176844.0,6.0,94.0,4.89851999282837,0.1,80.84146341463415,92.0,7.99008226,2.5,34461.70877996394
Australia,2006,20450966.0,6.5,94.0,4.74065017700195,0.1,81.04146341463415,92.0,7.98943853,2.5,36570.72036841463
Australia,2007,20827622.0,6.2,94.0,4.65621995925903,0.1,81.29268292682927,92.0,8.06755352,2.5,41023.75485622932
Australia,2008,21249199.0,6.6,94.0,4.63278007507324,0.1,81.39512195121952,92.0,8.25585651,2.5,49679.18052798418
Australia,2009,21691653.0,6.9,94.0,5.08451986312866,0.1,81.54390243902441,92.0,8.56316471,2.5,42810.33165513904
Australia,2010,22031750.0,6.6,94.0,5.54303979873657,0.1,81.69512195121953,92.0,8.4308424,2.5,52134.30885041988
Australia,2011,22340024.0,6.4,94.0,5.06995010375977,0.1,81.89512195121951,92.0,8.54153824,2.5,62596.43217489154
Australia,2012,22733465.0,6.6,94.0,4.86787986755371,0.1,82.04634146341463,92.0,8.67564774,2.5,68044.714816234
Australia,2013,23128129.0,6.2,94.0,5.22923994064331,0.1,82.14878048780488,91.0,8.76116371,2.5,68158.57974270533
Australia,2014,23475686.0,6.5,94.0,5.1646900177002,0.1,82.3,92.0,9.03597069,2.5,62513.41121711217
Australia,2015,23815995.0,6.1,95.0,5.31583976745605,0.1,82.4,93.0,9.32758904,2.5,56710.44572445044
Australia,2016,24190907.0,6.5,95.0,5.28623008728027,0.1,82.4487804878049,94.0,9.24815178,2.5,49875.5651433836
Australia,2017,24594202.0,6.7,94.0,5.13680982589722,0.1,82.5,95.0,9.26682281,2.5,53936.14025499032
Australia,2018,24966643.0,6.6,94.0,5.12344980239868,0.1,82.7487804878049,95.0,9.1550045,2.5,57207.87150948056
Australia,2019,25340217.0,6.8,94.0,5.13531017303467,0.1,82.9,95.0,9.91078568,2.5,54941.434179394826
Azerbaijan,2001,8111200.0,75.0,68.0,3.50342011451721,0.1,65.51,77.0,2.75590682,17.0,703.6838434327224
Azerbaijan,2002,8171950.0,78.0,66.0,3.15445995330811,0.1,66.239,76.0,2.73279428,13.4,763.0806379853582
Azerbaijan,2003,8234100.0,57.0,67.0,3.2861499786377,0.1,66.756,77.0,2.73471093,10.4,883.7339714984523
Azerbaijan,2004,8306500.0,80.0,67.0,3.44770002365112,0.1,67.346,77.0,2.66530418,7.4,1045.0093791680526
Azerbaijan,2005,8391850.0,88.0,67.0,2.97462010383606,0.2,67.562,75.0,2.26107669,4.8,1578.4023902960269
Azerbaijan,2006,8484550.0,83.0,69.0,2.55552005767822,0.2,68.165,78.0,2.06678391,2.8,2473.0818186353627
Azerbaijan,2007,8581300.0,79.0,75.0,2.5492799282074,0.2,68.603,79.0,1.99021435,2.5,3851.4378687117223
Azerbaijan,2008,8763400.0,108.0,79.0,2.44092988967896,0.2,68.811,81.0,1.93880892,2.5,5574.603802186126
Azerbaijan,2009,8947243.0,133.0,85.0,3.22430992126465,0.2,69.356,81.0,2.6137836,2.5,4950.294791423751
Azerbaijan,2010,9054332.0,104.0,89.0,2.78062009811401,0.2,69.529,81.0,2.48996663,2.5,5843.5337683582
Azerbaijan,2011,9173082.0,125.0,92.0,2.43564009666443,0.2,69.984,87.0,2.44641805,2.5,7189.691229207655
Azerbaijan,2012,9295784.0,86.0,94.0,2.06763005256653,0.2,70.36,89.0,2.96481562,2.5,7496.294647682633
Azerbaijan,2013,9416801.0,78.0,98.0,2.44213008880615,0.2,70.881,93.0,3.03672314,2.5,7875.756952542878
Azerbaijan,2014,9535079.0,76.0,98.0,2.63303995132446,0.2,71.116,94.0,3.37713742,2.5,7891.313147499859
Azerbaijan,2015,9649341.0,71.0,98.0,2.95167994499207,0.2,71.451,96.0,4.10663605,2.5,5500.31038244408
Azerbaijan,2016,9757812.0,66.0,98.0,2.90340995788574,0.2,72.004,97.0,4.03655434,2.5,3880.7387308955604
Azerbaijan,2017,9854033.0,66.0,98.0,2.47381997108459,0.1,72.248,95.0,3.73651457,2.5,4147.089715691707
Azerbaijan,2018,9939771.0,63.0,96.0,2.45543003082275,0.1,72.76,95.0,3.55621028,2.5,4739.841710283928
Azerbaijan,2019,10024283.0,60.0,98.0,2.68108010292053,0.1,73.102,94.0,4.03829002,2.5,4805.753717659173
Benin,2001,7212041.0,83.0,68.0,2.36509990692139,1.5,56.66,76.0,3.24910021,17.2,508.34744285262383
Benin,2002,7431783.0,80.0,66.0,2.15949010848999,1.4,56.606,75.0,3.04335403,15.5,564.3790796186789
Benin,2003,7659208.0,78.0,65.0,2.28315997123718,1.4,56.738,73.0,3.0376544,13.7,698.408808628665
Benin,2004,7894554.0,75.0,63.0,2.56690001487732,1.4,56.826,72.0,3.0760572,13.2,784.119122642955
Benin,2005,8149419.0,73.0,61.0,2.6566801071167,1.3,57.125,70.0,2.93478322,12.0,805.9046287236312
Benin,2006,8402631.0,71.0,66.0,2.56340003013611,1.3,57.456,74.0,2.97331023,11.0,837.1320425110188
Benin,2007,8647761.0,69.0,70.0,2.36331009864807,1.2,57.675,82.0,2.8938241,10.1,944.6432076525404
Benin,2008,8906469.0,69.0,66.0,2.77728009223938,1.2,57.869,75.0,2.69675088,9.0,1098.9467796956312
Benin,2009,9172514.0,69.0,71.0,3.08927011489868,1.2,57.956,79.0,2.82528329,8.8,1061.7184114711586
Benin,2010,9445710.0,68.0,68.0,3.67997002601624,1.2,58.363,76.0,2.99710441,8.2,1009.4894943300154
Benin,2011,9726380.0,67.0,70.0,4.39788007736206,1.2,58.462,75.0,3.09628272,7.9,1099.4143113919033
Benin,2012,10014078.0,66.0,74.0,3.56202006340027,1.1,58.716,80.0,3.41449857,7.6,1112.5695352068678
Benin,2013,10308730.0,64.0,68.0,3.3275101184845,1.1,58.965,77.0,2.85861206,7.5,1214.295565765858
Benin,2014,10614844.0,61.0,65.0,3.161789894104,1.1,59.125,74.0,2.66743827,7.4,1251.5047654269028
Benin,2015,10932783.0,60.0,67.0,3.17298007011414,1.1,59.377,74.0,2.90741682,7.3,1041.6525231598348
Benin,2016,11260085.0,59.0,68.0,2.89910006523132,1.0,59.539,76.0,2.73950028,7.6,1049.8203034992268
Benin,2017,11596779.0,58.0,68.0,3.53558993339539,1.0,59.856,76.0,2.61910868,7.9,1095.2744590511932
Benin,2018,11940683.0,56.0,68.0,2.93161988258362,1.0,60.14,76.0,2.50416446,8.1,1194.4382142714428
Benin,2019,12290444.0,55.0,68.0,2.96519994735718,0.9,60.454,76.0,2.38842916,7.7,1170.9655329809868
Burkina Faso,2005,13876127.0,64.0,84.0,3.94113993644714,1.4,53.092,82.0,3.95109105,17.5,442.9443995455741
Burkina Faso,2006,14316242.0,63.0,88.0,3.98218989372253,1.4,53.742,86.0,4.51446247,17.1,457.3420967387545
Burkina Faso,2007,14757074.0,62.0,94.0,4.07983016967773,1.3,54.375,89.0,5.23372936,16.0,516.7503479042923
Burkina Faso,2010,16116845.0,58.0,92.0,3.50222992897034,1.1,56.477,91.0,5.2395854,13.3,627.2703475329541
Burkina Faso,2011,16602651.0,57.0,89.0,3.98515009880066,1.1,57.125,91.0,4.6486845,12.6,727.6125146559004
Burkina Faso,2012,17113732.0,55.0,87.0,3.60315990447998,1.0,57.619,90.0,4.60266972,12.2,733.9729342183977
Burkina Faso,2013,17636408.0,54.0,82.0,4.08343982696533,1.0,57.823,88.0,5.56331158,11.8,762.3038171456682
Burkina Faso,2014,18169842.0,54.0,88.0,4.05329990386963,0.9,58.359,91.0,5.00026941,11.8,767.3713906759168
Burkina Faso,2015,18718019.0,52.0,88.0,3.67008996009827,0.9,58.845,91.0,5.13192463,12.0,632.1266836839395
Burkina Faso,2017,19835858.0,49.0,88.0,5.62846994400024,0.8,59.536,91.0,6.02940798,12.4,711.1846046732971
Burkina Faso,2018,20392723.0,48.0,88.0,5.488609790802,0.7,60.047,91.0,4.90988731,12.7,779.2027097000915
Burkina Faso,2019,20951639.0,47.0,88.0,5.69684982299805,0.7,60.039,91.0,5.46494246,14.1,772.1668949178351
Bangladesh,2001,131670484.0,221.0,77.0,2.17193007469177,0.1,66.135,85.0,2.06375051,15.9,410.04854090404297
Bangladesh,2002,134139826.0,221.0,75.0,2.01714992523193,0.1,66.612,83.0,2.25972915,15.1,407.9629676164198
Bangladesh,2003,136503206.0,221.0,76.0,2.06939005851746,0.1,66.824,87.0,2.30958843,14.9,440.714404819588
Bangladesh,2004,138789725.0,221.0,81.0,1.94014000892639,0.1,67.187,99.0,2.33950281,14.4,469.11645836925226
Bangladesh,2006,142628831.0,221.0,83.0,2.13128995895386,0.1,67.241,94.0,2.48439622,13.8,503.53833218853435
Bangladesh,2007,144135934.0,221.0,89.0,2.20221996307373,0.1,66.714,94.0,2.55897784,13.9,552.3389345307047
Bangladesh,2008,145421318.0,221.0,92.0,2.0545699596405,0.1,67.051,96.0,2.48848343,13.6,630.1089792029235
Bangladesh,2009,146706810.0,221.0,93.0,1.9394199848175,0.1,67.403,97.0,2.56097794,14.8,698.5210262045129
Bangladesh,2011,150211005.0,221.0,93.0,2.13269996643066,0.1,68.809,96.0,2.76118398,15.8,856.3815860987389
Bangladesh,2012,152090649.0,221.0,88.0,2.04667067527771,0.1,69.554,94.0,2.74823475,15.3,876.8175450581288
Bangladesh,2013,154030139.0,221.0,91.0,1.96616005897522,0.1,69.565,96.0,2.65446854,15.0,973.7733926364231
Bangladesh,2014,155961299.0,221.0,94.0,2.09871673583984,0.1,69.986,97.0,2.65588379,14.1,1108.5150998354604
Bangladesh,2015,157830000.0,221.0,97.0,1.87225413322449,0.1,70.491,98.0,2.63947296,14.0,1236.0050604905882
Bangladesh,2016,159784568.0,221.0,97.0,2.22119998931885,0.1,71.09,98.0,2.47291207,13.3,1659.9616052355852
Bangladesh,2017,161793964.0,221.0,97.0,2.21661949157715,0.1,71.788,98.0,2.43180156,12.5,1815.609426457896
Bangladesh,2018,163683958.0,221.0,97.0,1.94795548915863,0.1,72.567,98.0,2.50803041,11.5,1963.4118546758357
Bangladesh,2019,165516222.0,221.0,97.0,1.97184658050537,0.1,72.806,98.0,2.48357606,11.0,2122.07885124799
Bulgaria,2001,8009142.0,61.0,90.0,3.38423991203308,0.1,71.76829268292684,94.0,6.85958767,4.0,1770.9135339474644
Bulgaria,2002,7837161.0,53.0,92.0,3.38608002662659,0.1,71.86585365853658,93.0,7.0809865,4.2,2092.957693876113
Bulgaria,2003,7775327.0,52.0,96.0,3.99845004081726,0.1,72.0658536585366,96.0,7.19987392,4.5,2719.4975076179358
Bulgaria,2004,7716860.0,49.0,95.0,2.31995010375977,0.1,72.56341463414634,95.0,6.89090872,4.9,3389.706802015474
Bulgaria,2005,7658972.0,52.0,96.0,4.10879993438721,0.1,72.5609756097561,96.0,6.89011431,4.9,3899.907720686506
Bulgaria,2006,7601022.0,51.0,96.0,3.90346002578735,0.1,72.61219512195122,95.0,6.52544594,5.1,4523.050832980599
Bulgaria,2007,7545338.0,47.0,96.0,3.68264007568359,0.1,72.66341463414635,95.0,6.16035938,4.6,5888.7768522063625
Bulgaria,2008,7492561.0,49.0,96.0,4.2223801612854,0.1,72.96341463414635,95.0,6.28771019,4.5,7271.395836532991
Bulgaria,2009,7444443.0,44.0,96.0,4.27429008483887,0.1,73.41219512195123,94.0,6.59577608,4.1,6988.233420172791
Bulgaria,2010,7395599.0,41.0,97.0,3.85796999931335,0.1,73.51219512195122,94.0,7.13800573,4.0,6853.002853886693
Bulgaria,2011,7348328.0,37.0,95.0,3.5469799041748,0.1,74.16341463414635,95.0,7.13881254,4.0,7849.165282744318
Bulgaria,2012,7305888.0,35.0,94.0,3.47637009620667,0.1,74.31463414634149,95.0,7.57609081,3.7,7432.478765680711
Bulgaria,2013,7265115.0,33.0,95.0,4.05822992324829,0.1,74.8609756097561,95.0,7.16768599,3.2,7681.934619958815
Bulgaria,2014,7223938.0,31.0,93.0,4.0829291343689,0.1,74.46585365853659,88.0,7.70713234,3.3,7901.785876393817
Bulgaria,2015,7177991.0,28.0,92.0,3.92179489135742,0.1,74.61463414634147,91.0,7.41093588,3.4,7074.681023250593
Bulgaria,2016,7127822.0,27.0,92.0,3.4033100605011,0.1,74.81219512195123,92.0,7.47690725,3.5,7569.4788147675945
Bulgaria,2017,7075947.0,25.0,94.0,4.07527017593384,0.1,74.81463414634148,92.0,7.5206337,3.0,8366.293221457476
Bulgaria,2018,7025037.0,23.0,93.0,4.04530000686646,0.1,74.96341463414636,92.0,7.3434248,2.8,9446.717094197305
Bulgaria,2019,6975761.0,21.0,95.0,4.19717979431152,0.1,75.11219512195122,93.0,7.12611389,3.0,9879.334342827067
Belarus,2004,9730146.0,71.0,99.0,5.7122597694397,0.1,68.95609756097562,99.0,5.73709631,3.3,2378.6232860074097
Belarus,2005,9663915.0,69.0,99.0,5.8710298538208,0.1,68.85121951219512,99.0,6.07036781,2.5,3125.8105350285305
Belarus,2006,9604924.0,68.0,97.0,6.07696008682251,0.1,69.40487804878049,99.0,5.57381344,2.5,3847.434123821527
Belarus,2007,9560953.0,71.0,99.0,5.15210008621216,0.1,70.20731707317074,95.0,5.69203281,2.5,4735.657607939994
Belarus,2009,9504583.0,70.0,99.0,4.3689398765564,0.2,70.40731707317074,96.0,5.39037848,2.5,5352.583911600703
Belarus,2010,9483836.0,68.0,99.0,5.22003984451294,0.2,70.40487804878049,98.0,5.65693998,2.5,6033.686239272204
Belarus,2011,9461643.0,62.0,99.0,4.68479013442993,0.3,70.55365853658537,98.0,4.87438536,2.5,6527.173868716418
Belarus,2012,9446836.0,63.0,98.0,4.95964002609253,0.3,71.96585365853657,98.0,5.245327,2.5,6953.132514936838
Belarus,2013,9443211.0,59.0,99.0,5.0094199180603,0.3,72.47073170731707,98.0,5.69559479,2.5,7998.125238780986
Belarus,2014,9448515.0,51.0,99.0,4.81830978393555,0.4,72.97073170731709,97.0,5.38793373,2.5,8341.399678610931
Belarus,2015,9461076.0,50.0,99.0,4.78751993179321,0.4,73.62439024390245,99.0,6.06533337,2.5,5967.052203849139
Belarus,2016,9469379.0,42.0,98.0,4.94654989242554,0.4,73.8268292682927,98.0,5.91054153,2.5,5039.6818862849905
Belarus,2017,9458989.0,37.0,97.0,4.79499006271362,0.4,74.12926829268294,97.0,5.75974846,2.5,5785.670672540682
Belarus,2018,9438785.0,31.0,98.0,5.38111019134521,0.4,74.17560975609757,97.0,5.52699471,2.5,6360.0624730128375
Belarus,2019,9419758.0,29.0,98.0,4.97947978973389,0.5,74.2268292682927,98.0,5.86133957,2.5,6837.717826063512
Belize,2001,248100.0,61.0,94.0,5.79692983627319,1.1,68.357,96.0,4.63241482,5.8,4687.625957275292
Belize,2003,263998.0,42.0,96.0,5.24820995330811,1.4,68.909,96.0,4.62012959,5.5,4916.703914423594
Belize,2004,272128.0,35.0,97.0,5.3358998298645,1.5,69.227,97.0,4.48231363,5.5,5106.053033866416
Belize,2008,305671.0,33.0,96.0,5.77263021469116,1.6,71.151,94.0,5.68234491,7.1,5656.408360623022
Belize,2009,314171.0,32.0,97.0,6.1781702041626,1.5,71.819,97.0,5.85314894,6.9,5348.997838756601
Belize,2010,322106.0,52.0,98.0,6.71975994110107,1.5,72.272,96.0,5.68149519,6.5,5397.291574823194
Belize,2013,344688.0,40.0,99.0,6.42537021636963,1.3,73.666,95.0,5.65393209,7.4,5887.933435454672
Belize,2014,352335.0,23.0,95.0,6.61468982696533,1.3,73.311,95.0,6.19277191,7.7,6068.08860885237
Belize,2015,359871.0,25.0,96.0,6.87015008926392,1.3,73.187,94.0,5.9350915,7.8,6142.4788326928265
Belize,2016,367313.0,37.0,95.0,7.29365015029907,1.2,73.399,95.0,6.14959431,7.2,6148.706961093128
Belize,2017,374693.0,36.0,90.0,7.45028018951416,1.2,73.562,88.0,5.79241371,7.0,6100.994680978828
Belize,2018,382066.0,30.0,97.0,7.47227001190186,1.2,73.703,96.0,5.81922674,6.7,6059.162553066748
Belize,2019,389095.0,27.0,96.0,7.1383900642395,1.1,73.931,98.0,5.96689224,6.8,6210.56554311929
Bolivia,2010,10223270.0,135.0,88.0,7.80999994277954,0.3,66.162,91.0,5.20230532,20.4,1922.049530939201
Bolivia,2011,10396246.0,131.0,96.0,7.07000017166138,0.3,66.534,95.0,5.17306805,17.3,2304.969835211321
Bolivia,2012,10569697.0,127.0,92.0,7.90000009536743,0.3,66.705,93.0,5.2539444,16.7,2562.466784233292
Bolivia,2013,10743349.0,123.0,87.0,7.57999992370605,0.3,67.021,87.0,5.57465124,16.5,2853.797161915985
Bolivia,2014,10916987.0,120.0,89.0,8.26000022888184,0.3,67.163,85.0,5.89613628,15.6,3022.462884435617
Bolivia,2015,11090085.0,117.0,95.0,8.9399995803833,0.3,67.318,89.0,6.55064964,14.3,2975.648811378468
Bolivia,2016,11263015.0,114.0,94.0,8.85000038146973,0.3,67.628,87.0,6.83333063,13.1,3013.5027077616996
Bolivia,2017,11435533.0,111.0,83.0,8.65999984741211,0.3,67.701,84.0,6.4901948,12.5,3280.0082134638246
Bolivia,2018,11606905.0,108.0,89.0,8.89999961853027,0.3,67.748,83.0,6.64209032,12.1,3471.0069506449922
Bolivia,2019,11777315.0,106.0,79.0,7.67268991470337,0.3,67.841,75.0,6.9233799,11.9,3472.380830756849
Brazil,2001,178211881.0,48.0,99.0,3.84468007087708,0.3,70.195,98.0,8.54960632,10.7,3142.277934916117
Brazil,2002,180476685.0,52.0,96.0,3.75037002563477,0.3,70.41,99.0,8.69685745,9.3,2824.6796252760028
Brazil,2004,184722043.0,54.0,97.0,3.97447991371155,0.4,71.131,99.0,8.12491989,6.8,3623.2479963353853
Brazil,2005,186797334.0,50.0,98.0,4.47908020019531,0.4,71.753,99.0,8.03540993,6.5,4773.248943745578
Brazil,2006,188820682.0,46.0,99.0,4.87060022354126,0.4,72.037,99.0,8.24952602,6.2,5866.096223829952
Brazil,2007,190779453.0,46.0,99.0,4.97425985336304,0.4,72.365,99.0,8.20183945,5.6,7323.03362855509
Brazil,2008,192672317.0,46.0,99.0,5.26883983612061,0.4,72.715,99.0,8.01129246,5.1,8801.59948420962
Brazil,2009,194517549.0,45.0,99.0,5.46355009078979,0.5,72.948,99.0,8.39480209,4.3,8570.022562000771
Brazil,2010,196353492.0,44.0,99.0,5.64879989624023,0.5,73.182,99.0,7.94515991,3.7,11249.464543277994
Brazil,2011,198185302.0,44.0,99.0,5.73741006851196,0.5,73.343,99.0,7.78819466,3.2,13200.785082398555
Brazil,2012,199977707.0,44.0,99.0,5.85510015487671,0.5,73.552,95.0,7.73637724,3.0,12327.317436513222
Brazil,2013,201721767.0,44.0,98.0,5.8388500213623,0.5,73.918,97.0,7.97659969,2.8,12258.50316838477
Brazil,2014,203459650.0,43.0,97.0,5.94848012924194,0.5,74.306,93.0,8.39644623,2.5,12071.158213234765
Brazil,2015,205188205.0,43.0,96.0,6.24105978012085,0.5,74.332,96.0,8.90929508,2.5,8783.22598387817
Brazil,2016,206859578.0,43.0,95.0,6.314040184021,0.5,74.442,89.0,9.16901207,2.5,8680.768791820185
Brazil,2017,208504960.0,44.0,91.0,6.32047986984253,0.5,74.827,89.0,9.47124863,2.5,9896.684783359031
Brazil,2018,210166592.0,46.0,92.0,6.08851003646851,0.5,75.109,87.0,9.46475124,2.5,9121.083402577828
Brazil,2019,211782878.0,46.0,91.0,5.96346998214722,0.5,75.338,70.0,9.5912714,2.6,8845.259118418762
